borough,complaint,date,crew,hours,lat,lon,reopened
Bronx,Water,2024-08-15,5,3.7,40.8442,-73.8689,True
Staten Is.,Heat,2024-01-15,3,14.2,40.5723,-74.1399,False
Queens,Heat,2024-12-04,2,8.9,40.73,-73.7628,True
Staten Is.,Heat,2024-12-21,2,12.9,40.5423,-74.1486,True
Brooklyn,Heat,2024-04-20,3,4.4,40.6732,-73.9,False
Queens,Noise,2024-04-13,5,2.5,40.7205,-73.799,False
Brooklyn,Parking,2024-05-24,2,6.0,40.6644,-73.9699,False
Manhattan,Street,2024-10-23,2,24.2,40.7599,-73.9857,False
Bronx,Water,2024-01-09,3,6.4,40.8654,-73.9478,False
Queens,Street,2024-03-06,4,6.4,40.6989,-73.8159,False
Staten Is.,Heat,2024-09-11,5,5.0,40.6086,-74.1215,True
Queens,Street,2024-06-01,2,25.4,40.7539,-73.7837,False
Bronx,Water,2024-06-10,5,14.7,40.8774,-73.8962,False
Manhattan,Heat,2024-12-08,5,6.6,40.7955,-73.9612,False
Brooklyn,Water,2024-10-18,2,31.7,40.669,-74.0122,False
Staten Is.,Street,2024-02-10,2,9.6,40.4988,-74.1602,False
Staten Is.,Water,2024-03-26,2,23.2,40.605,-74.1359,False
Bronx,Parking,2024-04-05,2,7.6,40.8418,-73.8507,False
Manhattan,Parking,2024-08-28,5,4.4,40.7828,-73.9949,True
Staten Is.,Noise,2024-06-05,2,7.5,40.5715,-74.1243,False
Staten Is.,Parking,2024-09-02,3,4.9,40.5383,-74.0955,False
Queens,Noise,2024-03-23,5,5.9,40.7038,-73.8044,False
Queens,Heat,2024-06-18,4,0.6,40.7398,-73.7694,False
Bronx,Street,2024-05-13,1,14.2,40.8925,-73.9184,True
Queens,Heat,2024-03-09,1,8.6,40.7013,-73.8505,False
Manhattan,Noise,2024-03-15,2,3.9,40.7529,-73.9532,False
Bronx,Water,2024-05-27,5,4.3,40.8936,-73.8703,False
Brooklyn,Street,2024-09-04,2,13.2,40.6235,-73.9456,False
Manhattan,Parking,2024-09-28,2,2.1,40.8422,-73.9891,False
Queens,Parking,2024-10-09,3,8.3,40.7215,-73.8004,False
Manhattan,Street,2024-03-10,3,13.2,40.7535,-73.9473,False
Queens,Parking,2024-07-30,1,7.4,40.7495,-73.74,False
Staten Is.,Street,2024-02-02,1,54.8,40.6308,-74.1581,False
Queens,Parking,2024-02-18,5,2.1,40.677,-73.8411,False
Brooklyn,Water,2024-06-17,3,3.9,40.6968,-73.9133,False
Queens,Heat,2024-09-12,2,2.1,40.7116,-73.7735,False
Manhattan,Noise,2024-03-26,5,1.2,40.8246,-73.9511,True
Bronx,Water,2024-03-03,3,12.6,40.8386,-73.8661,False
Bronx,Parking,2024-10-19,5,3.8,40.8027,-73.8018,False
Queens,Water,2024-08-06,1,35.4,40.7351,-73.7893,False
Brooklyn,Heat,2024-10-25,3,6.9,40.6778,-73.9361,False
Manhattan,Water,2024-02-01,5,12.2,40.8429,-74.0272,False
Brooklyn,Street,2024-12-11,4,1.8,40.7017,-73.9689,False
Brooklyn,Parking,2024-10-21,4,8.3,40.6709,-73.9722,False
Bronx,Heat,2024-11-02,3,21.3,40.8429,-73.8724,False
Brooklyn,Noise,2024-02-07,5,2.6,40.6344,-73.9411,True
Staten Is.,Water,2024-08-24,2,3.0,40.5712,-74.174,True
Manhattan,Water,2024-07-16,4,5.6,40.7551,-73.9196,True
Brooklyn,Parking,2024-03-09,3,7.2,40.6418,-73.9835,False
Manhattan,Noise,2024-11-30,2,5.6,40.7037,-73.9851,False
Staten Is.,Water,2024-10-27,2,3.1,40.5854,-74.1444,False
Brooklyn,Noise,2024-10-29,3,5.0,40.6491,-73.9891,True
Manhattan,Heat,2024-09-22,2,8.8,40.857,-73.9544,True
Manhattan,Noise,2024-03-05,3,11.6,40.8028,-73.9525,False
Queens,Water,2024-09-29,4,3.3,40.7056,-73.8003,False
Manhattan,Heat,2024-06-17,5,2.0,40.7969,-73.9142,True
Queens,Street,2024-09-11,4,1.0,40.6832,-73.7891,False
Manhattan,Noise,2024-08-05,3,11.1,40.7619,-73.9631,False
Queens,Heat,2024-10-29,1,23.9,40.664,-73.8204,False
Staten Is.,Water,2024-07-08,1,47.9,40.6231,-74.2018,True
Bronx,Noise,2024-04-18,4,6.0,40.8678,-73.8905,False
Manhattan,Street,2024-08-29,3,2.6,40.7447,-73.9812,False
Manhattan,Heat,2024-09-02,5,12.0,40.7782,-73.9852,False
Brooklyn,Street,2024-04-16,3,15.4,40.6785,-73.9285,False
Brooklyn,Water,2024-07-07,3,5.7,40.6649,-74.0232,False
Bronx,Street,2024-08-30,2,13.6,40.8615,-73.9056,False
Manhattan,Noise,2024-05-03,1,38.4,40.7543,-74.0264,False
Staten Is.,Parking,2024-03-03,1,7.0,40.5609,-74.1113,False
Bronx,Water,2024-04-29,4,6.5,40.8529,-73.8885,False
Manhattan,Parking,2024-10-31,3,0.4,40.8076,-73.987,False
Staten Is.,Noise,2024-02-26,2,11.3,40.5551,-74.1846,False
Staten Is.,Parking,2024-05-23,2,36.9,40.5464,-74.1245,False
Brooklyn,Street,2024-06-28,4,2.6,40.6843,-73.9639,False
Bronx,Parking,2024-10-17,2,3.9,40.8221,-73.8649,False
Queens,Heat,2024-05-14,2,13.3,40.7523,-73.8526,False
Bronx,Water,2024-12-28,2,6.9,40.8573,-73.8364,False
Brooklyn,Parking,2024-06-02,4,9.1,40.6764,-73.9397,False
Manhattan,Noise,2024-06-17,5,5.9,40.8323,-73.9549,False
Staten Is.,Parking,2024-11-06,2,26.1,40.6007,-74.1144,True
Bronx,Parking,2024-06-13,2,32.4,40.8733,-73.8773,False
Queens,Water,2024-09-05,3,5.4,40.6925,-73.7965,True
Manhattan,Street,2024-05-08,1,15.1,40.7591,-73.9499,False
Bronx,Water,2024-09-05,3,17.3,40.8693,-73.8587,False
Staten Is.,Street,2024-08-05,5,4.0,40.626,-74.1588,False
Staten Is.,Parking,2024-12-25,4,2.7,40.6218,-74.1502,False
Manhattan,Street,2024-05-25,1,21.0,40.8495,-73.9866,False
Staten Is.,Noise,2024-03-20,2,10.9,40.5893,-74.13,False
Queens,Water,2024-02-20,1,11.4,40.7261,-73.7634,False
Staten Is.,Parking,2024-07-04,5,1.1,40.6102,-74.1513,False
Staten Is.,Water,2024-07-01,2,2.8,40.5806,-74.095,True
Manhattan,Noise,2024-02-03,2,15.4,40.7781,-74.0177,False
Brooklyn,Street,2024-01-05,5,1.4,40.6186,-73.9585,False
Bronx,Street,2024-05-23,2,30.3,40.8797,-73.82,False
Manhattan,Street,2024-01-13,2,7.9,40.7478,-73.9841,False
Bronx,Noise,2024-12-12,2,12.8,40.8654,-73.9195,False
Queens,Water,2024-10-15,2,6.2,40.6774,-73.7495,True
Staten Is.,Street,2024-02-01,1,6.2,40.6129,-74.1351,False
Brooklyn,Noise,2024-10-11,4,8.8,40.6191,-73.9873,True
Manhattan,Parking,2024-10-03,3,3.6,40.8053,-73.9482,False
Bronx,Water,2024-09-21,5,3.6,40.8023,-73.9022,False
Bronx,Heat,2024-11-11,4,16.7,40.8368,-73.9117,False
Brooklyn,Noise,2024-09-14,2,9.9,40.6854,-73.956,False
Staten Is.,Parking,2024-07-04,4,14.0,40.5558,-74.1659,False
Staten Is.,Street,2024-09-21,5,8.2,40.582,-74.1844,True
Queens,Water,2024-10-18,1,15.8,40.7056,-73.8024,True
Manhattan,Water,2024-07-31,1,20.4,40.7107,-74.0016,False
Manhattan,Noise,2024-06-09,1,7.7,40.7892,-73.9696,True
Bronx,Parking,2024-07-28,1,45.3,40.863,-73.8721,True
Brooklyn,Noise,2024-05-08,2,22.1,40.6168,-73.929,False
Staten Is.,Parking,2024-05-27,4,4.6,40.5972,-74.1651,False
Manhattan,Heat,2024-07-03,4,4.2,40.7561,-74.0115,False
Brooklyn,Water,2024-09-30,2,16.9,40.6199,-73.9911,True
Brooklyn,Noise,2024-03-12,3,13.2,40.6502,-73.9588,False
Queens,Water,2024-06-06,4,2.5,40.6996,-73.7452,False
Bronx,Street,2024-04-22,5,4.8,40.9188,-73.8459,False
Staten Is.,Heat,2024-02-26,2,17.2,40.5334,-74.1707,False
Staten Is.,Heat,2024-04-21,4,3.6,40.6022,-74.1231,False
Manhattan,Water,2024-04-20,3,10.9,40.8097,-74.0063,False
Manhattan,Street,2024-12-26,4,5.2,40.7206,-73.9409,False
Queens,Heat,2024-05-21,5,8.3,40.668,-73.8029,False
Manhattan,Parking,2024-05-02,4,3.2,40.7969,-73.9483,False
Manhattan,Water,2024-05-24,2,8.2,40.7656,-73.9527,False
Brooklyn,Parking,2024-03-24,4,7.9,40.6615,-73.9598,False
Manhattan,Heat,2024-11-29,1,8.3,40.8142,-73.9616,False
Queens,Parking,2024-12-09,2,4.4,40.7088,-73.8235,False
Bronx,Street,2024-05-23,2,21.9,40.8181,-73.8736,False
Bronx,Parking,2024-02-20,2,4.3,40.7681,-73.8388,True
Queens,Parking,2024-01-07,5,2.7,40.7261,-73.6682,False
Brooklyn,Heat,2024-12-18,3,14.5,40.6221,-73.9303,False
Staten Is.,Heat,2024-10-30,1,28.1,40.5894,-74.1488,False
Bronx,Parking,2024-11-07,3,10.0,40.8569,-73.9019,False
Staten Is.,Water,2024-08-01,1,53.9,40.5385,-74.1195,False
Bronx,Noise,2024-08-24,1,36.4,40.9017,-73.9212,False
Manhattan,Street,2024-10-07,2,31.3,40.8125,-73.9955,False
Staten Is.,Parking,2024-06-05,3,15.7,40.6054,-74.1406,False
Bronx,Noise,2024-10-28,2,8.0,40.8145,-73.9077,False
Queens,Parking,2024-03-12,4,0.7,40.7078,-73.7451,False
Queens,Heat,2024-06-11,3,3.7,40.7036,-73.7585,False
Manhattan,Street,2024-02-08,1,4.8,40.7676,-73.9885,False
Bronx,Noise,2024-10-09,5,4.9,40.8163,-73.8881,True
Manhattan,Water,2024-02-07,1,10.9,40.793,-74.0111,False
Manhattan,Street,2024-07-02,2,3.6,40.7869,-74.0135,False
Staten Is.,Noise,2024-05-07,1,20.1,40.591,-74.1381,False
Queens,Heat,2024-12-28,5,1.0,40.7048,-73.7726,False
Brooklyn,Water,2024-05-28,2,4.6,40.6887,-73.9408,False
Bronx,Parking,2024-02-21,5,13.0,40.8556,-73.8634,False
Manhattan,Noise,2024-12-03,5,3.1,40.6979,-73.9882,False
Brooklyn,Water,2024-07-20,2,2.6,40.6308,-73.9405,False
Queens,Heat,2024-07-14,1,33.5,40.7183,-73.8357,False
Staten Is.,Noise,2024-08-19,1,21.0,40.609,-74.1511,False
Brooklyn,Heat,2024-12-27,1,21.4,40.641,-73.907,False
Staten Is.,Heat,2024-01-10,3,3.7,40.5725,-74.1116,False
Manhattan,Parking,2024-09-20,1,9.9,40.7601,-73.9853,False
Manhattan,Parking,2024-06-14,5,1.6,40.8,-73.9814,False
Queens,Parking,2024-02-23,3,1.8,40.7066,-73.7499,False
Queens,Street,2024-11-26,5,5.6,40.7019,-73.7376,False
Staten Is.,Heat,2024-07-21,1,8.2,40.5577,-74.1964,False
Staten Is.,Parking,2024-11-29,1,24.1,40.5967,-74.1642,False
Bronx,Heat,2024-02-28,3,5.3,40.834,-73.8643,False
Manhattan,Noise,2024-09-03,1,11.1,40.7297,-73.9347,False
Staten Is.,Noise,2024-01-15,1,2.6,40.5987,-74.1766,True
Brooklyn,Street,2024-12-25,1,25.6,40.629,-73.932,True
Bronx,Heat,2024-12-10,2,11.2,40.8607,-73.8804,False
Manhattan,Parking,2024-11-18,4,5.6,40.7912,-73.8998,False
Queens,Heat,2024-05-03,4,8.2,40.7561,-73.7784,False
Queens,Parking,2024-09-11,3,17.6,40.7513,-73.7954,True
Staten Is.,Water,2024-03-10,1,39.4,40.5627,-74.1615,False
Queens,Noise,2024-11-02,3,1.7,40.715,-73.7596,False
Bronx,Water,2024-02-07,4,2.5,40.8113,-73.8509,False
Staten Is.,Heat,2024-09-25,1,50.3,40.6303,-74.184,True
Manhattan,Water,2024-08-26,3,13.0,40.7932,-73.9648,False
Staten Is.,Street,2024-04-17,5,3.6,40.6218,-74.1917,False
Staten Is.,Noise,2024-06-17,3,5.9,40.5704,-74.1741,False
Staten Is.,Parking,2024-06-22,3,3.6,40.5185,-74.1903,True
Bronx,Street,2024-01-05,5,13.2,40.896,-73.9113,False
Staten Is.,Noise,2024-01-20,4,1.9,40.5828,-74.172,False
Queens,Noise,2024-09-18,1,44.9,40.724,-73.8209,False
Manhattan,Street,2024-09-07,4,6.4,40.7817,-73.9555,False
Queens,Noise,2024-04-03,5,2.8,40.7393,-73.7674,False
Staten Is.,Parking,2024-06-12,2,4.5,40.596,-74.1585,False
Manhattan,Water,2024-10-11,5,10.2,40.7323,-74.0051,False
Bronx,Street,2024-09-04,3,10.6,40.8826,-73.8471,False
Queens,Parking,2024-06-27,4,13.8,40.7041,-73.8523,True
Brooklyn,Parking,2024-11-11,2,22.2,40.636,-74.0095,True
Brooklyn,Noise,2024-07-14,1,10.3,40.7018,-73.9294,True
Bronx,Water,2024-01-02,1,16.9,40.8776,-73.8516,True
Bronx,Street,2024-06-15,4,1.0,40.8399,-73.842,True
Staten Is.,Water,2024-03-29,5,10.4,40.5243,-74.1578,False
Brooklyn,Noise,2024-09-03,4,8.0,40.6548,-73.9893,False
Bronx,Street,2024-02-08,2,6.5,40.8662,-73.8867,False
Bronx,Parking,2024-12-27,4,6.2,40.8476,-73.8543,False
Brooklyn,Water,2024-08-09,5,1.6,40.6126,-73.9744,True
Brooklyn,Noise,2024-10-18,2,7.7,40.6263,-73.9725,False
Brooklyn,Street,2024-06-17,1,26.6,40.6123,-73.9934,False
Staten Is.,Water,2024-01-26,5,8.1,40.5865,-74.1864,False
Staten Is.,Noise,2024-06-08,1,15.7,40.6046,-74.1259,True
Manhattan,Parking,2024-06-29,5,3.5,40.8108,-73.9577,False
Staten Is.,Street,2024-06-01,1,14.4,40.558,-74.1863,False
Brooklyn,Street,2024-03-26,1,31.8,40.6571,-73.9839,False
Bronx,Parking,2024-03-16,2,1.8,40.8666,-73.8883,False
Brooklyn,Heat,2024-02-07,2,7.1,40.6347,-73.9348,False
Bronx,Parking,2024-06-30,2,6.9,40.8455,-73.9065,False
Staten Is.,Heat,2024-03-12,1,34.7,40.6437,-74.1564,True
Brooklyn,Heat,2024-08-16,5,1.4,40.6562,-74.016,False
Manhattan,Parking,2024-03-31,5,8.0,40.8065,-74.0092,False
Brooklyn,Noise,2024-06-07,4,9.0,40.637,-73.9387,False
Staten Is.,Heat,2024-12-16,5,8.6,40.5813,-74.1243,False
Bronx,Street,2024-07-10,5,2.0,40.7986,-73.9062,False
Manhattan,Noise,2024-09-28,5,2.1,40.7792,-73.9946,False
Staten Is.,Water,2024-09-05,2,11.4,40.6158,-74.1273,False
Manhattan,Parking,2024-11-07,4,3.1,40.843,-73.9831,True
Staten Is.,Water,2024-01-21,4,3.3,40.6159,-74.1676,False
Staten Is.,Heat,2024-09-12,4,5.4,40.6006,-74.1357,False
Queens,Street,2024-03-27,4,6.0,40.7216,-73.7854,False
Queens,Heat,2024-04-25,4,6.1,40.702,-73.7578,False
Manhattan,Noise,2024-11-26,2,8.7,40.7752,-73.9474,False
Manhattan,Noise,2024-05-22,3,4.2,40.7984,-73.9887,True
Staten Is.,Parking,2024-07-07,1,8.8,40.5564,-74.1549,False
Manhattan,Heat,2024-06-09,5,4.0,40.808,-73.9731,False
Staten Is.,Water,2024-02-09,5,3.3,40.5505,-74.1922,False
Staten Is.,Water,2024-04-17,4,4.4,40.5266,-74.1806,True
Brooklyn,Water,2024-02-25,4,8.9,40.6196,-73.922,False
Manhattan,Water,2024-06-02,2,5.6,40.73,-74.0191,True
Queens,Heat,2024-01-01,2,29.1,40.6788,-73.7613,False
Staten Is.,Noise,2024-10-08,3,5.3,40.614,-74.1427,False
Bronx,Water,2024-07-14,2,21.0,40.844,-73.8755,False
Bronx,Heat,2024-01-28,1,14.4,40.8566,-73.8551,False
Brooklyn,Parking,2024-12-27,2,13.4,40.6847,-73.9369,False
Manhattan,Parking,2024-04-10,4,4.4,40.8178,-73.9349,True
Bronx,Water,2024-05-07,2,2.8,40.8349,-73.8833,False
Manhattan,Parking,2024-06-23,4,6.7,40.8199,-73.9782,False
Manhattan,Water,2024-07-14,3,2.3,40.7915,-73.9787,False
Staten Is.,Water,2024-09-03,3,5.1,40.5801,-74.0946,False
Queens,Water,2024-07-13,4,9.4,40.7333,-73.7628,False
Brooklyn,Heat,2024-08-23,5,20.7,40.6072,-73.9791,False
Queens,Heat,2024-04-23,5,2.4,40.6964,-73.8013,False
Staten Is.,Water,2024-09-21,4,4.3,40.5768,-74.1725,False
Queens,Heat,2024-11-07,1,31.0,40.7383,-73.7908,True
Queens,Street,2024-02-08,2,11.7,40.7088,-73.7848,False
Brooklyn,Noise,2024-02-13,3,17.3,40.6462,-73.8822,True
Queens,Water,2024-03-06,1,13.7,40.7491,-73.8462,False
Bronx,Parking,2024-04-30,3,19.0,40.8924,-73.8403,False
Queens,Parking,2024-04-22,1,34.1,40.743,-73.7781,False
Staten Is.,Water,2024-10-11,3,7.6,40.6181,-74.1723,False
Staten Is.,Noise,2024-04-12,1,21.3,40.5679,-74.1557,False
Brooklyn,Parking,2024-11-19,2,14.6,40.6408,-73.9661,True
Brooklyn,Water,2024-10-02,2,18.2,40.6596,-73.9497,True
Queens,Street,2024-12-09,5,3.2,40.711,-73.7609,False
Brooklyn,Heat,2024-12-28,3,4.6,40.6348,-73.9969,True
Queens,Street,2024-01-26,3,5.4,40.7696,-73.7517,False
Brooklyn,Water,2024-09-06,5,2.9,40.644,-73.9624,False
Bronx,Noise,2024-11-12,1,37.6,40.821,-73.8259,False
Bronx,Street,2024-01-13,2,16.2,40.8646,-73.8588,False
Manhattan,Water,2024-03-01,3,1.3,40.8351,-73.934,True
Brooklyn,Street,2024-04-18,5,2.6,40.6524,-73.9341,False
Brooklyn,Parking,2024-03-16,4,1.7,40.6869,-73.9185,False
Staten Is.,Noise,2024-10-20,4,4.1,40.5669,-74.1494,False
Staten Is.,Parking,2024-02-18,2,7.0,40.5653,-74.1761,False
Staten Is.,Parking,2024-12-03,5,2.1,40.5593,-74.1309,False
Manhattan,Water,2024-05-10,1,30.4,40.7757,-73.9497,False
Bronx,Street,2024-08-05,3,4.6,40.9051,-73.8079,False
Queens,Street,2024-05-29,2,11.4,40.6853,-73.8514,True
Queens,Water,2024-05-07,1,16.3,40.7691,-73.797,False
Staten Is.,Parking,2024-11-11,1,30.5,40.5497,-74.1191,False
Manhattan,Water,2024-05-09,4,7.4,40.773,-74.0087,False
Bronx,Parking,2024-12-23,5,3.1,40.8751,-73.8779,False
Manhattan,Street,2024-08-19,2,13.2,40.7989,-73.9073,False
Manhattan,Water,2024-05-11,1,22.0,40.7885,-73.9284,False
Queens,Heat,2024-11-11,1,50.0,40.6705,-73.8175,False
Brooklyn,Parking,2024-04-11,1,10.2,40.6609,-73.9081,True
Brooklyn,Street,2024-05-04,4,5.7,40.6193,-73.9154,False
Bronx,Water,2024-11-20,1,19.2,40.9271,-73.8476,False
Staten Is.,Street,2024-03-10,4,4.2,40.5736,-74.1395,False
Queens,Parking,2024-11-18,4,17.2,40.7257,-73.7838,False
Manhattan,Water,2024-01-02,2,12.3,40.7456,-73.9971,True
Brooklyn,Noise,2024-01-04,2,20.2,40.6356,-73.9665,False
Queens,Parking,2024-02-20,2,20.9,40.6813,-73.7689,False
Manhattan,Street,2024-08-12,4,6.1,40.8094,-73.9667,False
Queens,Water,2024-11-06,5,5.0,40.7121,-73.7353,False
Bronx,Heat,2024-11-04,4,2.5,40.8669,-73.8809,False
Bronx,Water,2024-08-15,2,5.6,40.8295,-73.9431,False
Queens,Parking,2024-08-21,4,5.3,40.705,-73.8009,True
Bronx,Noise,2024-12-27,4,9.2,40.8886,-73.8626,False
Queens,Parking,2024-12-12,3,19.5,40.6908,-73.7794,False
Manhattan,Parking,2024-01-26,1,6.5,40.726,-73.9688,False
Bronx,Parking,2024-07-23,2,13.8,40.8622,-73.8956,False
Queens,Noise,2024-05-13,5,7.7,40.6858,-73.7459,False
Queens,Street,2024-02-19,3,4.1,40.7068,-73.8108,False
Staten Is.,Street,2024-10-17,1,10.4,40.6073,-74.1295,True
Staten Is.,Parking,2024-07-16,5,1.0,40.5554,-74.1595,False
Queens,Water,2024-08-29,3,10.1,40.7464,-73.8268,False
Staten Is.,Street,2024-07-07,2,9.5,40.5596,-74.1084,True
Bronx,Parking,2024-01-25,1,26.5,40.8947,-73.9462,True
Staten Is.,Parking,2024-11-12,3,3.4,40.6198,-74.1764,False
Staten Is.,Parking,2024-05-26,3,6.8,40.5659,-74.1378,False
Queens,Heat,2024-03-21,1,38.2,40.7136,-73.8015,True
Staten Is.,Heat,2024-08-20,5,4.1,40.555,-74.1282,True
Queens,Heat,2024-04-20,3,11.0,40.726,-73.7938,False
Staten Is.,Parking,2024-09-08,1,42.9,40.6145,-74.1644,False
Staten Is.,Water,2024-07-05,1,22.5,40.5366,-74.0858,False
Manhattan,Street,2024-06-13,2,14.6,40.8075,-73.9773,False
Staten Is.,Water,2024-02-06,4,9.6,40.5403,-74.1555,False
Staten Is.,Heat,2024-03-09,4,9.2,40.5542,-74.1832,False
Brooklyn,Parking,2024-11-11,5,9.3,40.5964,-73.9732,True
Bronx,Water,2024-12-18,4,5.4,40.9131,-73.8512,False
Bronx,Noise,2024-07-20,5,3.4,40.8518,-73.8538,False
Bronx,Heat,2024-06-19,2,36.7,40.8573,-73.8706,False
Manhattan,Heat,2024-03-06,3,7.5,40.7597,-73.9917,False
Bronx,Water,2024-09-18,4,7.4,40.882,-73.85,True
Brooklyn,Street,2024-08-24,2,33.4,40.5869,-74.0018,True
Brooklyn,Heat,2024-07-14,3,0.5,40.6508,-73.9609,True
Queens,Water,2024-04-07,4,3.8,40.7862,-73.7982,False
Brooklyn,Noise,2024-01-30,5,0.4,40.6385,-73.976,False
Staten Is.,Street,2024-12-19,5,8.8,40.5805,-74.146,False
Bronx,Noise,2024-03-27,2,41.5,40.8702,-73.8906,False
Staten Is.,Parking,2024-08-26,4,4.3,40.5557,-74.1747,False
Manhattan,Street,2024-01-24,4,7.3,40.7807,-73.9164,False
Brooklyn,Heat,2024-09-06,5,6.6,40.6788,-73.9283,False
Bronx,Parking,2024-03-10,4,0.8,40.8558,-73.8345,False
Brooklyn,Street,2024-09-12,2,7.5,40.6611,-73.9489,False
Manhattan,Parking,2024-03-14,4,6.4,40.7695,-73.9415,False
Bronx,Parking,2024-06-29,1,5.5,40.8595,-73.847,False
Bronx,Noise,2024-05-31,2,6.5,40.8517,-73.834,True
Bronx,Street,2024-07-06,3,14.3,40.8937,-73.7993,False
Queens,Water,2024-04-27,4,7.2,40.7417,-73.7972,False
Bronx,Water,2024-05-03,1,7.5,40.8427,-73.8626,False
Bronx,Heat,2024-05-12,4,2.2,40.7766,-73.8719,False
Manhattan,Parking,2024-08-20,1,27.9,40.8015,-74.0758,False
